SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,May-31-2019,Townhouse,1035 156th Ave NE #36,Bellevue,WA,98007,605000,2,2.25,Bellevue,1548,174514,1972,122,391,400,Sold,,,http://www.redfin.com/WA/Bellevue/1035-156th-Ave-NE-98007/unit-36/home/7587,NWMLS,1447756,N,Y,47.6192618,-122.1353527
PAST SALE,July-22-2019,Single Family Residential,1406 151st Ave SE,Bellevue,WA,98007,774000,3,2.5,Robinswood,2160,7560,1961,70,358,,Sold,,,http://www.redfin.com/WA/Bellevue/1406-151st-Ave-SE-98007/home/426280,NWMLS,1453138,N,Y,47.5972763,-122.1368036
PAST SALE,March-1-2019,Condo/Co-op,3930 Lake Washington Blvd SE Unit 8A,Bellevue,WA,98006,335000,2,1.75,Bellevue,880,93900,1973,213,381,400,Sold,,,http://www.redfin.com/WA/Bellevue/3930-Lake-Washington-Blvd-SE-98006/unit-8A/home/61517,NWMLS,1409458,N,Y,47.5752101,-122.1815441
PAST SALE,May-13-2019,Condo/Co-op,701 122nd Ave NE #202,Bellevue,WA,98005,475000,2,1.0,Bellevue,887,68240,1968,140,536,576,Sold,,,http://www.redfin.com/WA/Bellevue/701-122nd-Ave-NE-98005/unit-202/home/22692473,NWMLS,1437576,N,Y,47.6157846,-122.1783203
PAST SALE,June-19-2019,Condo/Co-op,14735 NE 31st St Unit 2C,Bellevue,WA,98007,396000,2,1.0,Bellevue,1087,395028,1978,103,364,402,Sold,,,http://www.redfin.com/WA/Bellevue/14735-NE-31st-St-98007/unit-2C/home/98693881,NWMLS,1464885,N,Y,47.6376559,-122.1478317
PAST SALE,January-30-2019,Single Family Residential,2916 161st Ave SE,Bellevue,WA,98008,795000,3,1.75,Bellevue,1560,8353,1967,243,510,,Sold,,,http://www.redfin.com/WA/Bellevue/2916-161st-Ave-SE-98008/home/429222,NWMLS,1397045,N,Y,47.5839968,-122.1243366
PAST SALE,February-27-2019,Condo/Co-op,14518 NE 30th Pl Unit A15,Bellevue,WA,98007,373000,2,1.0,Microsoft,908,395028,1978,215,411,380,Sold,,,http://www.redfin.com/WA/Bellevue/14518-NE-30th-Pl-98007/unit-15A/home/40571,NWMLS,1404014,N,Y,47.6373627,-122.1457389
PAST SALE,April-16-2019,Single Family Residential,7339 168th Ave SE,Bellevue,WA,98006,1675000,5,4.25,Cougar Mountain,4112,11756,2014,167,407,173,Sold,,,http://www.redfin.com/WA/Bellevue/7339-168th-Ave-SE-98006/home/22222119,NWMLS,1369169,N,Y,47.5370144,-122.1154847
PAST SALE,September-6-2019,Single Family Residential,16609 SE 43rd St,Bellevue,WA,98006,863000,3,1.75,Bellevue,2050,27465,1954,24,421,,Sold,,,http://www.redfin.com/WA/Bellevue/16609-SE-43rd-St-98006/home/235591,NWMLS,1478655,N,Y,47.5685659,-122.118625
PAST SALE,September-17-2019,Single Family Residential,14419 SE 14th St,Bellevue,WA,98007,780000,4,1.75,Bellevue,1430,8840,1955,13,545,,Sold,,,http://www.redfin.com/WA/Bellevue/14419-SE-14th-St-98007/home/425542,NWMLS,1501731,N,Y,47.5980633,-122.146105
