Date,Open,High,Low,Close,Adjusted_close,Volume
1/2/2009,33.86,34.3,33.07,34.14,33.1321,795895
1/5/2009,33.89,34.13,33.37,33.68,32.6854,969631
1/6/2009,34.01,34.3,33.28,33.73,32.7342,1159318
1/7/2009,33.29,33.5,31.84,32.39,31.4336,1919040
1/8/2009,32.38,32.6,31.25,32.5,31.5404,1165188
1/9/2009,32.39,32.39,31.545,31.78,30.8419,991480
1/12/2009,31.58,31.79,30.51,30.83,29.9196,825546
1/13/2009,30.67,31.27,30.46,31.12,30.2012,1141772
1/14/2009,30.46,30.76,30,30.13,29.2399,1065503
1/15/2009,30.13,31.12,29.5,30.59,29.6866,1612351
1/16/2009,31.03,31.85,30.56,31.72,30.7833,930286
1/20/2009,31.24,31.63,30.01,30.16,29.2694,753383
1/21/2009,30.22,31.55,29.79,31.48,30.5503,1600801
1/22/2009,32.28,33.19,31.7,32.71,31.7441,2428909
1/23/2009,32.09,33.59,31.43,32.84,31.8703,1393576
1/26/2009,32.32,33.51,32.32,32.77,31.8026,1567619
1/27/2009,33.37,33.89,32.6,33.03,32.0548,1059832
1/28/2009,33.73,34.55,33.48,34.4,33.3847,1432072
1/29/2009,34.04,34.39,33.25,33.37,32.3846,1025599
1/30/2009,33.56,33.84,32.46,32.73,31.7634,1273061
2/2/2009,32.18,33.18,32.18,33.04,32.0646,910425
2/3/2009,33.07,34.12,32.38,33.93,32.9281,1190134
2/4/2009,33.89,34,32.9,33.38,32.3943,1947431
2/5/2009,33.2,33.57,32.68,32.95,31.9768,2398926
2/6/2009,33.03,34.21,32.86,33.63,32.637,1773689
2/9/2009,33.7,34.25,33.26,34.25,33.2386,1603806
2/10/2009,33.95,34.71,32.84,32.95,31.9768,2653379
2/11/2009,33.07,33.53,32.6,32.76,31.7926,1735771
2/12/2009,32.45,33.1,31.64,33,32.0256,2015866
2/13/2009,33.2,33.74,32.68,32.82,31.8508,974163
2/17/2009,31.96,32.8,31.82,32.14,31.191,2782813
2/18/2009,32.22,33.08,31.83,32.63,31.6667,3245229
2/19/2009,36.37,37.93,36.26,37,35.9075,9416770
2/20/2009,36.31,37.9,36.3,36.91,35.8198,4039272
