Date,Open,High,Low,Close,Adjusted_close,Volume
1/2/2009,90.44,93.44,89.85,92.96,74.754,227638523
1/5/2009,92.63,94.553,91.89,92.85,74.6658,240697608
1/6/2009,93.64,94.45,92.68,93.47,75.1641,328481747
1/7/2009,92,92.26,90.2,90.67,72.9125,281047574
1/8/2009,90.16,91.09,89.67,91.042,73.2119,263834401
1/9/2009,91.16,91.32,85.36,89.09,71.6419,331160908
1/12/2009,88.84,88.91,86.41,86.95,69.9215,278008387
1/13/2009,86.73,87.88,86.2,87.11,70.0499,356731781
1/14/2009,85.54,85.75,83.16,84.37,67.8468,435967129
1/15/2009,84.12,85.25,81.72,84.4,67.8709,533808811
1/16/2009,85.86,85.9876,83.05,85.06,68.4014,399307014
1/20/2009,84.23,85.059,80.05,80.57,64.7907,420108448
1/21/2009,81.94,84.24,80.47,84.05,67.5896,364767258
1/22/2009,82.42,84.04,81.17,82.75,66.5438,427940436
1/23/2009,80.9,83.99,80.57,83.11,66.8331,386800533
1/26/2009,83.59,85.36,82.81,83.68,67.2919,318269470
1/27/2009,84.13,85.15,83.3,84.53,67.9753,274111851
1/28/2009,86.4,87.95,86.07,87.39,70.2753,330317423
1/29/2009,86.11,87.4901,84.47,84.55,67.9912,294591469
1/30/2009,84.98,85.4,82.21,82.83,66.6079,383464165
2/2/2009,81.57,83.18,81.31,82.58,66.4068,288488899
2/3/2009,83.1,84.36,82.22,83.74,67.3401,278480540
2/4/2009,84.3,85.37,83.04,83.33,67.0101,322993929
2/5/2009,82.7,85.29,77.73,84.57,68.0071,417679916
2/6/2009,84.86,87.34,84.68,86.979,69.9447,366101656
2/9/2009,86.96,87.74,86.32,87.1,70.0419,240075116
2/10/2009,86.27,87.03,82.45,83.11,66.8331,536212730
2/11/2009,83.45,84.05,82.4,83.6,67.2273,324674586
2/12/2009,82.17,83.82,81.05,83.66,67.2758,469302192
2/13/2009,83.55,84.24,82.74,82.76,66.5518,293998386
2/17/2009,80.16,82.958,79.17,79.22,63.7052,478910634
2/18/2009,79.79,79.94,78.28,79.03,63.5526,362970111
2/19/2009,79.84,80.15,78.02,78.181,62.8696,316869547
2/20/2009,76.73,78.34,75.77,77.42,62.2578,477176566
2/23/2009,78.27,78.27,74.59,74.65,60.0304,379644668
2/24/2009,75.29,77.95,74.7003,77.48,62.3061,426412267
2/25/2009,77.14,78.42,75.63,76.872,61.8171,462039594
2/26/2009,77.82,79.667,75.53,75.62,60.8103,363371321
2/27/2009,74.01,75.6872,73.81,73.93,59.4512,470568851
3/2/2009,72.52,73.9169,70.37,70.6,56.7735,426453248
3/3/2009,71.61,71.7,69.64,70.07,56.347,443761154
3/4/2009,71.23,72.87,70.0729,71.73,57.6823,462763396
3/5/2009,70.1,71.73,68.17,68.8,55.3261,485551217
3/6/2009,69.4,70.45,67.1,68.92,55.422,490495181
3/9/2009,67.95,70,67.73,68.11,54.7711,379907248
3/10/2009,69.51,72.37,69.37,72.17,58.036,406230757
3/11/2009,73,73.75,71.83,72.64,58.4138,356809978
3/12/2009,72.62,75.75,71.97,75.5,60.7136,409818582
3/13/2009,76.01,76.98,74.73,76.09,61.1882,337474612
3/16/2009,76.96,77.97,75.81,75.86,61.0032,360821360
3/17/2009,76.07,78.36,75.45,78.18,62.8688,357075105
3/18/2009,77.81,80.9,77.07,79.93,64.276,473552378
3/19/2009,80.93,81,78.69,78.94,63.48,428597138
3/20/2009,78.76,78.91,76.53,76.71,62.128,371165651
3/23/2009,78.74,82.29,78.31,82.22,66.5908,420247245
3/24/2009,81.24,82.36,80.51,80.6,65.2788,328151379
3/25/2009,81.23,82.7,79.06,81.45,65.9674,441995020
3/26/2009,82.25,83.3,81.32,83.11,67.3115,422025298
3/27/2009,82.05,82.53,81.31,81.61,66.0968,322343625
3/30/2009,79.8,79.87,77.96,78.79,63.8129,324108478
3/31/2009,79.56,81.08,79.05,79.52,64.4042,364238267
4/1/2009,78.53,81.42,78.33,81.06,65.6513,377018284
4/2/2009,83.08,84.61,81.1296,83.43,67.5711,476230899
4/3/2009,83.49,84.28,82.67,84.26,68.2433,284646280
4/6/2009,83.34,84.2747,82.29,83.6,67.7084,264866540
4/7/2009,82.25,82.65,81.51,81.65,66.1294,259071910
4/8/2009,82.06,82.94,81.54,82.53,66.842,230402749
4/9/2009,84.67,85.82,84.33,85.81,69.4986,269653423
4/13/2009,84.92,86.54,84.58,85.83,69.5147,224847431
4/14/2009,85.03,85.76,84.08,84.35,68.3161,276598725
4/15/2009,83.84,85.42,83.61,85.25,69.0449,250726037
4/16/2009,85.93,87.15,84.77,86.5,70.0574,335202868
4/17/2009,86.83,87.65,86.14,87.08,70.5271,262648937
4/20/2009,85.54,87.0489,83.34,83.43,67.5711,293690096
4/21/2009,82.82,85.13,82.75,85.06,68.8912,300478349
4/22/2009,84.29,86.34,84.07,84.54,68.4697,340395130
4/23/2009,84.71,85.42,83.63,85.37,69.1421,324903639
4/24/2009,86.03,87.31,85.69,86.66,70.1868,287702994
4/27/2009,85.68,87.01,85.54,85.84,69.5226,289581577
4/28/2009,84.97,86.59,84.76,85.57,69.3038,247927845
4/29/2009,86.52,88.36,86.3,87.39,70.7781,311505611
4/30/2009,88.55,89.02,86.92,87.42,70.8025,301419716
5/1/2009,87.44,88.21,86.72,87.89,71.1831,236110289
5/4/2009,88.55,90.94,88.38,90.88,73.6045,287119943
5/5/2009,90.57,90.93,89.84,90.57,73.3538,243036257
5/6/2009,91.68,92.2,90.61,92.141,74.6261,291940993
5/7/2009,93.01,93.15,90.28,90.86,73.5886,317800496
5/8/2009,92.03,93.22,90.911,92.98,75.3054,299081637
